,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:55:33,400405,320000,2100000,50,680155,499898,168511145123,410501
11/01/2021 14:28:00,400016,299999,2100000,47,638082,499898,137789015989,371199
11/01/2021 17:27:29,398709,320000,2100000,44,718747,625000,179104417484,423207
17/01/2021 01:56:34,389277,295000,2000000,71,649632,445999,142847539736,377951
17/01/2021 10:00:55,388506,289999,2000000,71,648153,445999,143823892820,379241
17/01/2021 11:44:52,388506,289999,2000000,71,627449,445999,122101573282,349430
17/01/2021 13:19:14,388506,289999,2000000,71,614632,445999,118878670409,344787
17/01/2021 15:01:54,388446,220000,2000000,77,594012,433999,125422972600,354151
18/01/2021 14:55:53,370485,295000,2000000,74,622245,445999,123780349428,351824
18/01/2021 17:25:20,370485,295000,2000000,74,610029,445999,120514503434,347151
