,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:01:57,453,499,-,-,49998
11/01/2021 14:33:27,453,100,100,5500,49998
11/01/2021 17:33:10,453,100,100,5500,49998
13/01/2021 11:56:19,455,450,450,-,49998
13/01/2021 12:43:46,455,450,450,-,49998
13/01/2021 13:21:57,455,450,450,-,49998
13/01/2021 14:33:03,455,450,450,-,49998
13/01/2021 15:36:25,455,450,450,-,49998
13/01/2021 17:08:47,455,450,450,-,49998
13/01/2021 18:16:02,455,450,450,-,49998
13/01/2021 19:29:49,455,450,450,-,49998
13/01/2021 21:55:09,455,450,450,-,49998
14/01/2021 00:11:39,455,450,450,-,49998
14/01/2021 02:13:21,455,450,450,-,49998
14/01/2021 07:17:11,455,450,450,-,49998
