,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:02:05,593,519,-,5199,56995
11/01/2021 14:33:35,593,569,-,-,56995
11/01/2021 17:33:18,593,569,-,-,56995
13/01/2021 11:56:26,461,499,-,4998,56993
13/01/2021 11:56:30,461,499,-,4998,56993
13/01/2021 12:43:53,461,499,-,4998,56992
13/01/2021 12:43:57,461,499,-,4998,56992
13/01/2021 13:22:04,461,499,-,4998,56992
13/01/2021 13:22:08,461,499,-,4998,56992
13/01/2021 14:33:10,461,499,-,4998,56992
13/01/2021 14:33:14,461,499,-,4998,56992
13/01/2021 15:36:32,461,100,100,4998,56992
13/01/2021 15:36:35,461,100,100,4998,56992
13/01/2021 17:08:54,461,100,100,4998,56992
13/01/2021 17:08:58,461,100,100,4998,56992
13/01/2021 18:16:09,461,100,100,4998,56992
13/01/2021 18:16:12,461,100,100,4998,56992
13/01/2021 19:29:56,461,100,100,4998,56992
13/01/2021 19:29:59,461,100,100,4998,56992
13/01/2021 21:55:16,461,100,100,4998,56992
13/01/2021 21:55:20,461,100,100,4998,56992
14/01/2021 00:11:47,503,-,-,-,-
14/01/2021 00:11:52,503,-,-,-,-
14/01/2021 02:13:28,503,569,-,-,56992
14/01/2021 02:13:31,503,569,-,-,56992
14/01/2021 07:17:18,503,569,-,5698,56991
14/01/2021 07:17:21,503,569,-,-,56991
14/01/2021 12:42:21,503,569,-,5698,56991
14/01/2021 12:42:25,503,569,-,5698,56991
14/01/2021 15:51:53,503,569,-,5696,56991
14/01/2021 15:51:57,503,569,-,5696,56991
14/01/2021 19:25:57,503,569,-,5696,56991
14/01/2021 19:26:01,503,569,-,5696,56991
14/01/2021 23:21:20,503,569,-,-,56980
14/01/2021 23:21:24,503,569,-,-,56980
15/01/2021 02:19:17,503,569,-,-,56980
15/01/2021 02:19:20,503,569,-,-,56980
15/01/2021 04:29:48,503,569,-,5694,56980
15/01/2021 04:29:51,503,569,-,-,56980
16/01/2021 04:30:18,523,500,500,5692,56980
16/01/2021 04:30:22,523,500,500,5692,56980
16/01/2021 05:33:41,523,500,500,5692,56980
16/01/2021 05:33:44,523,500,500,5692,56980
16/01/2021 06:36:23,523,500,500,5692,56980
16/01/2021 06:36:27,523,500,500,5692,56980
16/01/2021 07:39:39,523,500,500,5692,56980
16/01/2021 07:39:42,523,500,500,5692,56980
16/01/2021 08:43:28,523,500,500,5692,56980
16/01/2021 08:43:31,523,500,500,5692,56980
16/01/2021 09:46:55,523,500,500,5692,56980
16/01/2021 09:46:58,523,500,500,5692,56980
16/01/2021 10:51:18,523,500,500,5690,56980
16/01/2021 10:51:21,523,500,500,5690,56980
16/01/2021 15:10:42,523,500,500,5690,56980
16/01/2021 15:10:45,523,500,500,5690,56980
16/01/2021 16:17:32,523,500,500,5690,56980
16/01/2021 16:17:35,523,500,500,5690,56980
