,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:05:52,18966,10000,66888,20,20994,14000,232614310,15251
11/01/2021 13:39:55,18846,10000,66888,23,25082,14000,249110449,15783
11/01/2021 16:39:13,18846,10000,66888,23,25082,14000,249110449,15783
13/01/2021 00:37:12,18868,13800,66888,20,23384,14000,249204148,15786
13/01/2021 01:06:39,18868,13500,66888,23,25051,14000,270194426,16437
13/01/2021 01:58:28,18868,13500,66888,23,25051,14000,270194426,16437
13/01/2021 20:51:21,18868,11500,66888,26,23680,14000,253253628,15913
13/01/2021 23:12:56,18868,9999,66888,26,20757,14000,214083670,14631
14/01/2021 01:32:59,18828,11500,66888,26,22103,14000,231078379,15201
14/01/2021 03:31:31,18828,11500,50000,26,21107,14000,164103813,12810
14/01/2021 08:35:17,18797,11500,50000,23,19599,14000,136399527,11679
