,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:56:00,1555,1300,1998,8,1539,1555,43963,209
11/01/2021 13:29:57,1555,1299,1998,8,1507,1477,51030,225
11/01/2021 16:29:24,1555,1299,1998,8,1507,1477,51030,225
13/01/2021 00:24:05,1554,1000,1998,8,1470,1477,80028,282
13/01/2021 00:53:17,1554,1000,1998,8,1470,1477,80028,282
13/01/2021 01:45:01,1554,1000,1998,8,1470,1477,80028,282
13/01/2021 20:37:44,1554,1000,1998,8,1470,1477,80028,282
13/01/2021 22:58:55,1554,1000,1998,8,1470,1477,80028,282
14/01/2021 01:19:23,1554,1000,1998,8,1432,1399,84271,290
14/01/2021 03:18:32,1554,1000,1998,8,1432,1399,84271,290
14/01/2021 08:22:01,1554,1000,1998,8,1432,1399,84271,290
14/01/2021 13:46:48,1554,1000,1998,8,1432,1399,84271,290
14/01/2021 20:34:38,1554,1000,1998,8,1432,1399,84271,290
15/01/2021 00:29:46,1554,1000,1998,8,1432,1399,84271,290
15/01/2021 05:37:23,1554,1000,1998,8,1432,1399,84271,290
