,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:59:54,279203,280000,850000,26,497243,438000,29082965559,170537
11/01/2021 13:33:55,281106,250000,850000,26,482948,400000,29592393624,172024
11/01/2021 16:33:16,280969,280000,850000,32,481248,399999,28892772698,169978
13/01/2021 00:29:07,283060,220000,850000,29,459819,399999,31677267098,177981
13/01/2021 00:58:32,283060,220000,850000,29,459819,399999,31677267098,177981
13/01/2021 01:50:16,283060,220000,850000,29,453267,399999,29798213896,172621
13/01/2021 20:43:28,281440,240000,850000,38,409977,350000,29224010453,170950
13/01/2021 23:04:32,281024,249000,850000,38,421819,364500,30418363582,174408
14/01/2021 01:25:00,280885,220000,850000,38,408398,350000,29659216257,172218
14/01/2021 03:23:38,280885,220000,850000,38,408398,350000,29659216257,172218
14/01/2021 08:27:22,280519,220000,850000,38,396030,350000,28550606443,168969
14/01/2021 13:51:49,279419,220000,850000,38,412083,364500,29062780413,170478
14/01/2021 20:40:02,279415,245000,850000,29,457036,400000,29979329886,173145
15/01/2021 00:34:41,279110,200000,850000,29,457933,400000,32225225354,179513
15/01/2021 05:42:21,278430,249999,850000,26,457886,399999,28751576924,169562
17/01/2021 02:13:17,277203,249999,850000,23,459354,399999,26550163323,162942
17/01/2021 06:31:57,277203,249999,850000,23,440659,399999,25573165932,159916
17/01/2021 10:15:04,277453,239990,850000,26,417736,372833,26538267351,162905
17/01/2021 12:02:37,277285,239990,850000,29,420058,375000,27341192551,165351
17/01/2021 13:37:25,277285,219999,850000,29,391438,350000,25321291373,159126
17/01/2021 15:19:38,277285,209990,850000,32,394428,350000,24697717127,157155
17/01/2021 16:51:31,277831,209990,850000,29,416576,366666,28365458852,168420
18/01/2021 15:11:19,278765,184111,850000,34,305099,244999,24525203722,156605
18/01/2021 17:40:23,278341,184000,850000,35,283394,220000,22618194086,150393
