,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:58:06,97624,75000,260000,20,137299,120000,2893376621,53790
11/01/2021 13:32:04,97624,75000,260000,20,137299,120000,2893376621,53790
11/01/2021 16:31:28,97624,75000,14999999,20,877299,120000,11052572123705,3324540
13/01/2021 00:26:39,97325,69999,14999999,20,956299,141000,10984775347884,3314328
13/01/2021 00:56:01,97202,70000,14999999,20,906299,100000,11037301559852,3322243
13/01/2021 01:47:45,97202,70000,14999999,20,906299,100000,11037301559852,3322243
13/01/2021 20:40:48,96869,70000,14999999,20,912199,120000,11027578034779,3320779
13/01/2021 23:01:45,96869,70000,14999999,23,847347,140000,9569864655399,3093519
14/01/2021 01:22:15,96869,70000,14999999,23,847347,140000,9569864655399,3093519
14/01/2021 03:21:17,96748,70000,14999999,20,912949,120000,11026259495463,3320581
14/01/2021 08:24:46,96748,70000,14999999,20,912949,120000,11026259495463,3320581
14/01/2021 13:49:23,96628,85000,14999999,20,922449,145000,11011205497463,3318313
14/01/2021 20:37:27,96628,85000,14999999,20,922449,145000,11011205497463,3318313
15/01/2021 00:32:21,96628,85000,14999999,20,922449,145000,11011205497463,3318313
15/01/2021 05:39:59,96628,85000,14999999,20,922449,145000,11011205497463,3318313
