,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:58:14,39619,32999,120000,20,75883,87944,835957385,28912
11/01/2021 13:32:12,39619,30000,120000,26,71162,77500,779119600,27912
11/01/2021 16:31:35,39619,30000,122222,29,76290,80000,931876134,30526
13/01/2021 00:26:49,39035,13000,122222,44,54463,45000,1068090212,32681
13/01/2021 00:56:10,39035,13000,122222,49,54783,45000,1228156063,35045
13/01/2021 01:47:55,39035,13000,122222,49,52640,45000,1167832402,34173
13/01/2021 20:40:58,38020,15999,122222,47,53742,45000,1000351455,31628
13/01/2021 23:01:56,37738,15999,122222,47,58082,45000,1116258506,33410
14/01/2021 01:22:28,37561,15999,122222,44,58497,45000,1029889525,32091
14/01/2021 03:21:28,37485,24999,25000,5,24999,25000,0,0
14/01/2021 08:24:56,37485,23999,122222,44,56497,45000,951180036,30841
14/01/2021 13:49:33,37485,23999,122222,44,56429,45000,954661082,30897
14/01/2021 20:37:38,37035,4499,122222,44,58977,45000,1143012028,33808
15/01/2021 00:32:32,36927,4499,49999,23,33608,37000,146684399,12111
15/01/2021 05:40:08,36927,4499,122222,44,54579,45000,1011114707,31798
