,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:54:16,488,500,500,1,,,,
11/01/2021 13:28:14,488,500,500,1,,,,
11/01/2021 16:27:39,488,500,500,1,,,,
13/01/2021 00:21:56,488,500,500,1,,,,
13/01/2021 00:51:06,488,500,500,1,,,,
13/01/2021 01:42:50,488,500,500,1,,,,
13/01/2021 20:35:20,488,500,500,1,,,,
13/01/2021 22:56:35,488,500,500,1,,,,
14/01/2021 01:17:12,488,500,500,1,,,,
14/01/2021 03:16:19,488,500,500,1,,,,
14/01/2021 08:19:50,488,500,500,1,,,,
