,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:54:30,968,125,12000,56,2862,1398,9547353,3089
11/01/2021 13:28:27,953,124,12000,67,2465,1100,9769576,3125
11/01/2021 16:27:54,966,124,12000,64,2189,1050,7912267,2812
13/01/2021 00:22:20,947,100,12000,68,2261,1050,8355053,2890
13/01/2021 00:51:29,947,100,12000,68,2261,1050,8355053,2890
13/01/2021 01:43:13,947,100,12000,68,2261,1050,8355053,2890
13/01/2021 20:35:47,913,110,12000,53,2334,1324,8247584,2871
13/01/2021 22:57:02,888,99,12000,59,2411,1200,9560266,3091
14/01/2021 01:17:32,874,100,12000,56,2534,1398,9778030,3126
14/01/2021 03:16:45,875,100,12000,62,2391,1150,9869454,3141
14/01/2021 08:20:14,872,100,12000,62,2420,1000,10527208,3244
