,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:58:46,29679,20000,30000,29,26517,29000,19972906,4469
11/01/2021 13:32:45,29679,20000,30000,29,26517,29000,19972906,4469
11/01/2021 16:32:09,29679,20000,30000,29,26517,29000,19972906,4469
13/01/2021 00:27:38,-,20000,30000,29,26517,29000,19972906,4469
13/01/2021 00:57:03,-,20000,30000,29,26517,29000,19972906,4469
13/01/2021 01:48:47,-,20000,30000,29,26517,29000,19972906,4469
13/01/2021 20:41:49,-,20000,30000,29,26517,29000,19972906,4469
13/01/2021 23:02:49,-,20000,30000,29,26517,29000,19972906,4469
14/01/2021 01:23:17,-,20000,30000,29,26517,29000,19972906,4469
14/01/2021 03:22:02,-,20000,30000,29,26517,29000,19972906,4469
14/01/2021 08:25:44,-,20000,30000,29,26517,29000,19972906,4469
14/01/2021 13:50:18,-,20000,30000,29,26517,29000,19972906,4469
14/01/2021 20:38:25,-,20000,30000,29,26517,29000,19972906,4469
15/01/2021 00:33:09,-,20000,30000,29,26517,29000,19972906,4469
15/01/2021 05:40:51,-,20000,30000,29,26517,29000,19972906,4469
17/01/2021 02:11:42,-,20000,29000,20,24950,29000,21102631,4593
17/01/2021 06:30:14,-,20000,29000,20,24950,29000,21102631,4593
17/01/2021 10:13:16,-,20000,29000,20,24950,29000,21102631,4593
17/01/2021 12:00:53,-,20000,29000,20,25100,29000,19989473,4470
17/01/2021 13:35:42,-,20000,29000,20,25100,29000,19989473,4470
17/01/2021 15:17:59,-,20000,29000,20,25100,29000,19989473,4470
17/01/2021 16:49:53,-,20000,29000,20,25100,29000,19989473,4470
18/01/2021 15:09:53,-,15000,23000,20,17400,15000,7831578,2798
18/01/2021 17:38:52,-,15000,23000,20,17400,15000,7831578,2798
