,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:53:57,168,29,29,1,,,,
11/01/2021 13:27:56,168,29,29,1,,,,
11/01/2021 16:27:21,168,29,29,1,,,,
13/01/2021 00:21:23,144,100,100,1,,,,
13/01/2021 00:50:34,144,100,100,1,,,,
13/01/2021 01:42:16,36,250,250,1,,,,
13/01/2021 20:35:25,144,100,100,1,,,,
13/01/2021 22:56:40,144,100,100,1,,,,
14/01/2021 01:17:17,144,100,100,1,,,,
14/01/2021 03:16:24,144,100,100,1,,,,
14/01/2021 08:19:54,144,100,100,1,,,,
