,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:03:05,3238455,4000000,12000000,20,6977005,6999012,5679380338670,2383145
11/01/2021 13:37:03,3241870,4000000,12000000,20,7376956,6999012,6371947217148,2524271
11/01/2021 16:36:22,3241870,4000000,12000000,20,7376956,6999012,6371947217148,2524271
13/01/2021 00:33:23,3252704,4500000,12000000,20,7017005,6999012,5448053511301,2334106
13/01/2021 01:02:45,3252704,3000000,12000000,20,6667055,6749506,5700404472948,2387551
13/01/2021 01:54:29,3251571,4500000,12000000,20,7017005,6999012,5448053511301,2334106
13/01/2021 20:47:32,3260757,4000000,12000000,20,6687055,6749506,5475054774001,2339883
13/01/2021 23:08:59,3260757,4000000,12000000,20,6687055,6749506,5475054774001,2339883
14/01/2021 01:29:12,3260757,4000000,12000000,20,6687055,6749506,5475054774001,2339883
14/01/2021 03:27:55,3260757,4000000,12000000,20,6687055,6749506,5475054774001,2339883
14/01/2021 08:31:41,3260757,4000000,12000000,20,6862005,6999012,6018313347617,2453225
14/01/2021 13:55:49,3260757,4000000,12000000,20,6862005,6999012,6018313347617,2453225
14/01/2021 20:44:17,3260757,4000000,12000000,20,6862005,6999012,6018313347617,2453225
15/01/2021 00:38:39,3262278,3100000,12000000,23,6714744,6999012,7898518177725,2810430
15/01/2021 05:46:23,3261550,3100000,12000000,23,6732136,6999012,7774029433061,2788194
17/01/2021 02:17:48,3287819,3499990,12000000,23,6032219,5750000,6779241543703,2603697
17/01/2021 06:36:38,3294182,3499990,12000000,23,6640830,6999012,8327369505907,2885718
17/01/2021 10:20:23,3294182,3499990,12000000,23,6640830,6999012,8327369505907,2885718
18/01/2021 15:15:21,3316827,2700000,12000000,17,5252706,3499990,8419802256031,2901689
18/01/2021 17:44:19,3316827,2600000,12000000,17,4817470,3499990,7250372033676,2692651
