,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:07:11,7115,30000,32000,2,31000,31000,2000000,1414
11/01/2021 13:41:16,7218,30000,30000,1,,,,
11/01/2021 16:40:36,7218,30000,30000,1,,,,
13/01/2021 00:38:57,7218,30000,30000,1,,,,
13/01/2021 01:08:26,7218,30000,30000,1,,,,
13/01/2021 02:00:15,7218,30000,30000,1,,,,
13/01/2021 20:53:09,7218,30000,30000,1,,,,
13/01/2021 23:14:51,7218,30000,30000,1,,,,
14/01/2021 01:34:52,7218,30000,30000,1,,,,
14/01/2021 03:33:19,7218,30000,30000,1,,,,
14/01/2021 08:37:05,7218,30000,30000,1,,,,
14/01/2021 14:00:53,7218,30000,30000,1,,,,
14/01/2021 20:49:37,7218,7000,30000,2,18500,18500,264500000,16263
15/01/2021 00:43:48,7217,30000,30000,1,,,,
15/01/2021 05:51:42,7217,30000,30000,1,,,,
17/01/2021 02:23:23,7217,30000,30000,1,,,,
17/01/2021 06:42:25,7217,30000,30000,1,,,,
17/01/2021 10:26:47,7217,30000,30000,1,,,,
17/01/2021 13:45:13,7217,30000,30000,1,,,,
17/01/2021 16:59:10,7217,30000,30000,1,,,,
18/01/2021 15:15:45,7217,15000,30000,8,16875,15000,28125000,5303
18/01/2021 17:49:19,7217,15000,30000,8,16875,15000,28125000,5303
