,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:11:09,383745,420000,850000,8,590694,550000,19472249656,139543
11/01/2021 13:45:03,383745,420000,850000,8,590694,550000,19472249656,139543
11/01/2021 16:44:21,383745,420000,850000,8,590694,550000,19472249656,139543
13/01/2021 00:43:50,383745,420000,850000,8,590694,550000,19472249656,139543
13/01/2021 01:13:09,383745,420000,850000,8,590694,550000,19472249656,139543
13/01/2021 02:05:19,383745,420000,850000,8,590694,550000,19472249656,139543
13/01/2021 20:58:41,383745,420000,850000,8,590694,550000,19472249656,139543
13/01/2021 23:20:02,383745,420000,850000,8,590694,550000,19472249656,139543
14/01/2021 01:40:22,383745,420000,850000,8,590694,550000,19472249656,139543
14/01/2021 03:38:22,383745,420000,850000,8,590694,550000,19472249656,139543
14/01/2021 08:42:02,383745,420000,850000,8,590694,550000,19472249656,139543
14/01/2021 14:05:37,383745,420000,850000,8,590694,550000,19472249656,139543
14/01/2021 20:54:14,383745,420000,850000,8,590694,550000,19472249656,139543
15/01/2021 00:48:32,383745,420000,850000,8,590694,550000,19472249656,139543
15/01/2021 05:56:34,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 02:28:29,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 06:47:46,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 10:32:21,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 12:09:21,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 13:50:31,383745,420000,850000,8,590694,550000,19472249656,139543
17/01/2021 17:04:31,383745,420000,850000,8,590694,550000,19472249656,139543
18/01/2021 15:20:51,383745,420000,850000,8,590694,550000,19472249656,139543
18/01/2021 17:54:17,383745,420000,850000,8,590694,550000,19472249656,139543
