,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:08:33,55169,20000,240000,8,60562,38000,5310102678,72870
11/01/2021 13:42:33,55169,20000,240000,8,60562,38000,5310102678,72870
11/01/2021 16:41:53,55169,20000,240000,8,60562,38000,5310102678,72870
13/01/2021 00:40:35,-,20000,30000,3,26333,29000,30333333,5507
13/01/2021 01:10:04,-,20000,30000,3,26333,29000,30333333,5507
13/01/2021 02:01:54,-,20000,30000,3,26333,29000,30333333,5507
13/01/2021 20:55:02,-,20000,30000,3,26333,29000,30333333,5507
13/01/2021 23:16:43,-,20000,30000,3,26333,29000,30333333,5507
14/01/2021 01:36:48,-,20000,30000,3,26333,29000,30333333,5507
14/01/2021 03:35:06,-,20000,30000,3,26333,29000,30333333,5507
14/01/2021 08:38:47,-,20000,30000,3,26333,29000,30333333,5507
