,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:13:18,456711,999999,999999,1,,,,
11/01/2021 13:47:10,456711,949999,949999,1,,,,
11/01/2021 16:46:22,456711,750000,750000,1,,,,
13/01/2021 00:46:44,460232,950000,950000,1,,,,
13/01/2021 01:16:02,460232,950000,950000,1,,,,
13/01/2021 02:08:19,460232,950000,950000,1,,,,
13/01/2021 23:22:34,399196,399999,399999,1,,,,
14/01/2021 01:43:04,462428,799999,799999,1,,,,
14/01/2021 03:40:53,462428,799999,799999,1,,,,
14/01/2021 08:44:30,462428,799999,799999,1,,,,
14/01/2021 14:08:03,462428,799999,799999,1,,,,
14/01/2021 20:56:56,463942,899999,899999,1,,,,
15/01/2021 00:51:14,463942,899999,899999,1,,,,
15/01/2021 05:59:10,463942,850000,899999,2,874999,874999,1249950000,35354
17/01/2021 02:31:30,471994,899000,900000,2,899500,899500,500000,707
17/01/2021 06:50:56,471994,899000,900000,2,899500,899500,500000,707
17/01/2021 10:35:30,471994,885000,899000,2,892000,892000,98000000,9899
17/01/2021 12:12:17,471994,885000,899000,2,892000,892000,98000000,9899
17/01/2021 13:53:17,471994,875000,885000,2,880000,880000,50000000,7071
17/01/2021 17:07:33,473802,875000,885000,2,880000,880000,50000000,7071
18/01/2021 15:23:32,473802,870000,875000,2,872500,872500,12500000,3535
18/01/2021 17:56:58,473802,870000,875000,2,872500,872500,12500000,3535
