,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:08:08,69549,85000,85000,1,,,,
11/01/2021 13:42:09,69549,85000,85000,1,,,,
11/01/2021 16:41:29,69549,85000,85000,1,,,,
13/01/2021 00:40:03,69549,85000,85000,1,,,,
13/01/2021 01:09:31,69549,85000,85000,1,,,,
13/01/2021 02:01:23,69549,85000,85000,1,,,,
13/01/2021 20:54:16,69549,84000,85000,2,84500,84500,500000,707
13/01/2021 23:15:57,69549,84000,85000,2,84500,84500,500000,707
14/01/2021 01:36:00,69549,84000,85000,2,84500,84500,500000,707
14/01/2021 03:34:22,69549,84000,85000,2,84500,84500,500000,707
14/01/2021 08:38:03,69549,84000,85000,2,84500,84500,500000,707
14/01/2021 14:01:49,69549,84000,85000,2,84500,84500,500000,707
14/01/2021 20:50:34,69549,84000,85000,2,84500,84500,500000,707
15/01/2021 00:44:43,69549,84000,85000,2,84500,84500,500000,707
15/01/2021 05:52:38,69549,84000,85000,2,84500,84500,500000,707
17/01/2021 02:24:24,69635,80000,85000,8,83187,84000,4566964,2137
17/01/2021 06:43:29,69704,80000,85000,5,82300,82500,5200000,2280
17/01/2021 10:27:55,69704,80000,85000,5,82300,82500,5200000,2280
17/01/2021 12:05:04,69704,80000,85000,5,82300,82500,5200000,2280
17/01/2021 13:46:19,69704,80000,85000,5,82300,82500,5200000,2280
17/01/2021 17:00:16,69704,80000,85000,5,82300,82500,5200000,2280
18/01/2021 15:16:53,69704,80000,85000,5,82300,82500,5200000,2280
18/01/2021 17:50:24,69704,80000,85000,5,82300,82500,5200000,2280
