,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:04:08,1083,1000,1000,1,,,,
11/01/2021 13:38:06,1083,1000,1000,1,,,,
11/01/2021 16:37:25,1083,1000,1000,1,,,,
13/01/2021 00:34:43,1076,198,198,1,,,,
13/01/2021 01:04:09,1076,198,198,1,,,,
13/01/2021 01:55:57,1076,198,198,1,,,,
13/01/2021 20:48:59,1076,198,198,1,,,,
13/01/2021 23:10:25,1076,198,198,1,,,,
14/01/2021 01:30:39,1076,198,198,1,,,,
14/01/2021 03:29:17,1076,198,198,1,,,,
14/01/2021 08:33:03,1076,198,198,1,,,,
14/01/2021 13:57:11,1076,198,198,1,,,,
14/01/2021 20:45:46,1076,198,198,1,,,,
15/01/2021 00:40:05,1076,198,198,1,,,,
15/01/2021 05:47:54,1076,198,198,1,,,,
