,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:11:49,846154,200000,40000000,29,2880306,300000,81043345712655,9002407
11/01/2021 13:45:43,835531,200000,40000000,29,2922375,399999,80863850294675,8992432
11/01/2021 16:45:01,830068,220000,40000000,29,5891340,700000,145897203649470,12078791
13/01/2021 00:44:37,752963,200000,40000000,32,7037924,800000,157956330877259,12568067
13/01/2021 01:13:56,752963,200000,40000000,32,7037924,800000,157956330877259,12568067
13/01/2021 02:06:06,752963,200000,40000000,41,4814965,399999,115790672645621,10760607
13/01/2021 20:59:23,733261,220000,40000000,41,5349843,510000,122421187445723,11064410
13/01/2021 23:20:44,728668,220000,40000000,38,4971146,605000,114355057309998,10693692
14/01/2021 01:41:08,726387,210000,40000000,38,4497199,605000,95288049041045,9761559
14/01/2021 03:39:07,724071,210000,40000000,38,4497199,605000,95288049041045,9761559
14/01/2021 08:42:45,724071,210000,40000000,44,4597013,484999,97825532850565,9890679
14/01/2021 14:06:18,721766,204990,40000000,44,3942694,469999,83986055427446,9164390
14/01/2021 20:55:05,714071,220000,40000000,41,3664940,470000,79298953576397,8904995
15/01/2021 00:49:22,709065,220000,40000000,41,4944086,510000,103432137027171,10170159
15/01/2021 05:57:21,706872,220000,40000000,38,3933883,490000,84712819139140,9203956
