,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:08:43,55552,105000,225000,8,126527,111111,1609600370,40119
11/01/2021 13:42:42,56311,105000,120000,5,111221,109999,29692586,5449
11/01/2021 16:42:01,56311,105000,120000,5,111221,109999,29692586,5449
13/01/2021 00:40:39,56814,109999,111111,3,110369,109999,412181,642
13/01/2021 01:10:09,56814,109999,111111,3,110369,109999,412181,642
13/01/2021 02:02:00,56814,109999,111111,3,110369,109999,412181,642
13/01/2021 20:54:56,56814,100000,135000,8,117388,115555,134071441,11578
13/01/2021 23:16:38,56814,100000,135000,8,117388,115555,134071441,11578
14/01/2021 01:36:42,56814,100000,135000,8,117388,115555,134071441,11578
14/01/2021 03:35:00,56814,100000,135000,8,117388,115555,134071441,11578
14/01/2021 08:38:41,56814,100000,135000,8,117388,115555,134071441,11578
14/01/2021 14:02:27,56814,100000,135000,8,117388,115555,134071441,11578
14/01/2021 20:51:16,56814,100000,135000,8,117388,115555,134071441,11578
15/01/2021 00:45:29,56814,100000,135000,8,117388,115555,134071441,11578
15/01/2021 05:53:26,56814,100000,135000,8,117388,115555,134071441,11578
