,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
13/01/2021 01:03:11,676,200,200,1,,,,
13/01/2021 01:54:54,676,200,200,1,,,,
13/01/2021 20:48:55,674,180,180,1,,,,
13/01/2021 23:10:20,674,180,180,1,,,,
14/01/2021 01:30:34,674,180,180,1,,,,
14/01/2021 03:29:13,674,180,180,1,,,,
14/01/2021 08:32:59,674,180,180,1,,,,
14/01/2021 13:57:06,674,10,10,1,,,,
14/01/2021 20:45:41,671,10,10,1,,,,
15/01/2021 00:39:00,668,180,180,1,,,,
15/01/2021 05:46:48,668,180,180,1,,,,
