,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:11:16,227869,260000,419999,11,296817,270000,3451327091,58747
11/01/2021 13:45:11,227869,260000,419999,11,296817,270000,3451327091,58747
11/01/2021 16:44:30,227869,260000,419999,11,296817,270000,3451327091,58747
13/01/2021 00:44:00,228179,269999,419999,10,315999,280000,4537723111,67362
13/01/2021 01:13:19,228179,269999,419999,10,315999,280000,4537723111,67362
13/01/2021 02:05:30,228179,269999,419999,10,315999,280000,4537723111,67362
13/01/2021 20:58:47,228179,269999,419999,10,315999,280000,4537723111,67362
13/01/2021 23:20:07,228179,255555,419999,11,309191,280000,4552086323,67469
14/01/2021 01:40:29,228179,255555,419999,11,309191,280000,4552086323,67469
14/01/2021 03:38:27,228179,255555,419999,11,309191,280000,4552086323,67469
14/01/2021 08:42:08,228179,255555,419999,11,309191,280000,4552086323,67469
14/01/2021 14:05:42,228179,255555,419999,11,309191,280000,4552086323,67469
14/01/2021 20:54:20,228179,255555,419999,11,309191,280000,4552086323,67469
15/01/2021 00:48:38,228179,255555,419999,11,309191,280000,4552086323,67469
15/01/2021 05:56:40,228179,255555,419999,11,309191,280000,4552086323,67469
