,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:04:44,2261,1999,1999,1,,,,
11/01/2021 13:38:46,2260,2000,2000,1,,,,
11/01/2021 16:38:05,2260,2000,2000,1,,,,
13/01/2021 00:35:37,2260,1500,1500,1,,,,
13/01/2021 01:05:05,2260,1500,1500,1,,,,
13/01/2021 01:56:52,2260,1400,1400,1,,,,
13/01/2021 20:49:38,2260,1400,1400,1,,,,
13/01/2021 23:11:06,2260,1400,1400,1,,,,
14/01/2021 01:31:12,2260,1400,1400,1,,,,
14/01/2021 03:29:50,2260,1400,1400,1,,,,
14/01/2021 08:33:37,2260,1400,1400,1,,,,
14/01/2021 13:57:43,2260,1400,1400,1,,,,
14/01/2021 20:46:10,2256,1400,1400,1,,,,
15/01/2021 00:40:42,2256,1400,1400,1,,,,
15/01/2021 05:48:32,2256,1390,1390,1,,,,
17/01/2021 02:20:03,2252,1400,1400,1,,,,
17/01/2021 06:38:53,2252,1400,1400,1,,,,
17/01/2021 10:22:58,2252,1400,1400,1,,,,
17/01/2021 13:41:54,2252,1400,1400,1,,,,
17/01/2021 15:22:41,2252,1000,1000,1,,,,
17/01/2021 16:55:39,2252,1000,1000,1,,,,
18/01/2021 17:46:19,2233,2499,2499,1,,,,
