,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:07:51,87073,55000,290000,11,123787,110000,5306172747,72843
11/01/2021 13:41:52,88047,66666,150000,8,118958,119999,780121349,27930
11/01/2021 16:41:12,88047,66666,150000,8,118958,119999,780121349,27930
13/01/2021 00:39:43,88422,50000,200000,11,119424,111000,1682788602,41021
13/01/2021 01:09:11,88473,50000,200000,11,123515,129999,1692058808,41134
13/01/2021 02:01:03,88473,50000,200000,11,123515,129999,1692058808,41134
13/01/2021 20:54:10,88818,50000,200000,8,122833,134999,2240897539,47338
13/01/2021 23:15:51,88818,50000,200000,8,122833,134999,2240897539,47338
14/01/2021 01:35:53,88818,50000,200000,8,122833,134999,2240897539,47338
14/01/2021 03:34:16,88818,50000,200000,8,122833,134999,2240897539,47338
14/01/2021 08:37:58,88818,50000,200000,8,127499,140000,2214285000,47056
14/01/2021 14:01:44,88818,50000,200000,8,127499,140000,2214285000,47056
14/01/2021 20:50:29,88740,70000,200000,8,136249,140000,1276787500,35732
15/01/2021 00:44:26,88740,70000,399900,8,168737,142500,9998762317,99993
15/01/2021 05:52:20,88740,70000,399900,11,173172,160000,7026836816,83826
17/01/2021 02:24:02,89109,70000,399900,17,151497,129999,7059353381,84019
17/01/2021 06:43:06,89109,70000,399900,17,151497,129999,7059353381,84019
17/01/2021 10:27:29,89109,70000,399900,17,151497,129999,7059353381,84019
17/01/2021 12:04:39,89024,70000,399900,20,168328,130000,7041147046,83911
17/01/2021 13:45:53,89024,70000,399900,20,166828,129999,7207182836,84895
17/01/2021 16:59:49,89024,70000,399900,20,166828,129999,7207182836,84895
18/01/2021 15:16:29,89067,70000,399900,26,150923,115555,6392690954,79954
18/01/2021 17:50:01,89205,70000,399900,23,148043,111111,6234110729,78956
