,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:47,264,1499,4000,21500,149997
11/01/2021 02:46:22,264,1499,4000,21500,149997
11/01/2021 15:08:08,264,1499,4000,21500,149997
11/01/2021 15:17:33,264,1499,4000,21500,149997
11/01/2021 18:08:03,264,1499,4000,21500,149997
11/01/2021 18:17:34,264,1499,4000,21500,149997
13/01/2021 14:03:06,213,200,200,13000,149997
13/01/2021 14:14:54,213,200,200,13000,149997
13/01/2021 15:16:55,213,200,200,13000,149997
13/01/2021 16:20:35,213,200,200,13000,149997
13/01/2021 16:32:43,213,200,200,13000,149997
13/01/2021 17:54:46,213,200,200,13000,149997
13/01/2021 18:07:24,213,200,200,13000,149997
13/01/2021 19:01:33,213,200,200,13000,149997
13/01/2021 19:13:52,213,200,200,13000,149997
13/01/2021 20:17:06,213,200,200,13000,149997
13/01/2021 20:27:45,213,200,200,13000,149997
13/01/2021 22:41:58,213,200,200,13000,149997
13/01/2021 22:51:11,213,200,200,13000,149997
14/01/2021 00:57:13,213,200,200,13000,149000
14/01/2021 01:09:46,213,200,200,13000,149000
14/01/2021 02:57:27,213,200,200,13000,149000
14/01/2021 03:09:14,213,200,200,13000,149000
14/01/2021 08:00:57,213,200,200,13000,149000
14/01/2021 08:12:44,213,200,200,13000,149000
14/01/2021 13:26:17,213,200,200,13000,149000
14/01/2021 13:37:53,213,200,200,13000,149000
14/01/2021 16:37:17,213,200,200,13000,149000
14/01/2021 16:43:42,213,200,200,13000,149000
14/01/2021 20:11:51,213,200,200,13000,149000
14/01/2021 20:24:23,213,200,200,13000,149000
15/01/2021 00:07:31,886,200,200,12990,149997
15/01/2021 00:19:56,886,200,200,12990,149997
15/01/2021 03:04:52,886,200,200,12990,149997
15/01/2021 03:17:30,886,200,200,12990,149997
15/01/2021 05:15:34,886,200,200,12990,149997
15/01/2021 05:27:46,886,200,200,12990,149997
16/01/2021 05:14:37,886,200,200,7900,149997
16/01/2021 05:26:28,886,200,200,7900,149997
16/01/2021 06:17:23,886,200,200,7900,149997
16/01/2021 06:29:09,886,200,200,7900,149997
16/01/2021 07:20:04,886,200,200,7900,149997
16/01/2021 07:32:21,886,200,200,7900,149997
16/01/2021 08:24:04,886,200,200,7900,149997
16/01/2021 08:35:54,886,200,200,7900,149997
16/01/2021 09:27:48,886,200,200,7900,149997
16/01/2021 09:39:34,886,200,200,7900,149997
16/01/2021 10:31:37,886,200,200,7900,149997
16/01/2021 10:43:50,886,200,200,7900,149997
16/01/2021 15:57:27,886,200,200,7900,149997
16/01/2021 16:09:58,886,200,200,7900,149997
16/01/2021 17:03:24,886,200,200,7900,149996
16/01/2021 17:15:57,886,200,200,7900,149996
16/01/2021 19:05:58,886,200,200,6666,148999
16/01/2021 19:18:52,886,200,200,6666,148999
16/01/2021 20:16:16,886,200,200,6666,148999
16/01/2021 20:29:23,886,200,200,6666,148999
16/01/2021 22:43:23,856,1299,4000,12990,148999
16/01/2021 22:56:54,856,1299,4000,12990,148999
16/01/2021 23:54:13,856,1299,4000,12990,148999
17/01/2021 00:07:12,856,1299,4000,12990,148999
