,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:24,99,15,-,809,1500
11/01/2021 02:47:00,99,15,-,809,1500
11/01/2021 15:08:51,99,15,-,809,1500
11/01/2021 15:18:17,99,15,-,809,1500
11/01/2021 18:08:47,99,15,-,809,1500
11/01/2021 18:18:17,99,15,-,809,1500
13/01/2021 14:04:02,99,15,22,800,1500
13/01/2021 14:15:50,99,15,22,800,1500
13/01/2021 15:17:51,-,15,22,800,1500
13/01/2021 16:21:30,99,15,22,800,1500
13/01/2021 16:33:38,99,15,22,800,1500
13/01/2021 17:55:43,99,15,22,800,1500
13/01/2021 18:08:20,99,15,22,800,1500
13/01/2021 19:02:27,99,15,22,800,1500
13/01/2021 19:14:49,99,15,22,800,1500
13/01/2021 20:18:06,99,15,22,800,1500
13/01/2021 20:28:40,99,15,22,800,1500
13/01/2021 22:42:58,99,15,22,800,1500
13/01/2021 22:52:11,99,15,22,800,1500
14/01/2021 00:58:11,99,15,22,800,1500
14/01/2021 01:10:45,99,15,22,800,1500
14/01/2021 02:58:21,99,15,22,800,1500
14/01/2021 03:10:07,99,15,22,800,1500
14/01/2021 08:01:58,99,15,22,800,1500
14/01/2021 08:13:48,99,15,22,800,1500
