,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:06,371,700,1998,15000,70000
11/01/2021 02:43:39,371,700,1998,15000,70000
11/01/2021 15:05:26,371,369,1998,3699,70000
11/01/2021 15:14:52,371,369,1998,3699,70000
11/01/2021 18:05:24,371,369,1998,3699,70000
11/01/2021 18:14:55,371,369,1998,3699,70000
13/01/2021 13:59:33,371,299,350,2998,62000
13/01/2021 14:11:22,371,299,350,2998,62000
13/01/2021 15:13:19,371,299,350,2998,62000
13/01/2021 16:17:00,371,299,350,2998,62000
13/01/2021 16:29:14,371,299,350,2998,62000
13/01/2021 17:51:01,371,299,350,2998,62000
13/01/2021 18:03:43,371,299,350,2998,62000
13/01/2021 18:57:56,371,299,350,2998,62000
13/01/2021 19:10:15,371,299,350,2998,62000
13/01/2021 20:13:16,371,10,350,2998,1000
13/01/2021 22:38:04,371,2,350,2998,200
13/01/2021 22:47:16,371,2,350,2998,200
14/01/2021 00:53:15,256,299,350,2998,61999
14/01/2021 01:06:09,256,299,350,2998,61999
14/01/2021 02:53:59,256,299,350,2998,61999
14/01/2021 03:05:49,256,299,350,2998,61999
14/01/2021 07:57:33,256,2,350,20,61999
14/01/2021 08:09:21,256,2,350,20,61999
