,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:35,2466,2000,2000,21998,-
11/01/2021 14:57:07,2466,2000,2000,21998,-
11/01/2021 17:56:50,2466,2000,2000,21998,-
13/01/2021 13:48:54,2466,1999,1999,21999,-
13/01/2021 15:02:46,2466,1999,1999,21999,-
13/01/2021 16:06:20,2466,1999,1999,21999,-
13/01/2021 17:39:54,2466,1999,1999,21999,-
13/01/2021 18:47:02,2466,1999,1999,21999,-
13/01/2021 20:01:20,2466,1999,1999,21999,-
13/01/2021 22:26:29,2466,1999,1999,21999,-
14/01/2021 00:42:49,2466,1999,1999,21998,-
14/01/2021 02:43:15,2466,1999,1999,21998,-
14/01/2021 07:46:46,2466,1999,1999,21998,-
14/01/2021 16:22:39,2430,2459,4000,28599,245998
14/01/2021 19:56:42,2430,2459,4000,28599,245998
14/01/2021 23:52:36,2430,2459,4000,28599,245998
15/01/2021 02:50:02,2430,2459,4000,28599,245998
15/01/2021 05:00:58,2430,2459,4000,28599,245998
16/01/2021 05:00:35,2430,2459,3900,28596,245998
16/01/2021 06:03:36,2430,2459,3900,28596,245998
16/01/2021 07:06:16,2430,2459,3900,28596,245998
16/01/2021 08:10:15,2430,2459,3900,28596,245998
16/01/2021 09:13:55,2430,2459,3900,28596,245998
16/01/2021 10:17:41,2430,2459,3900,28596,245998
16/01/2021 11:21:58,2430,2459,3900,28596,245998
16/01/2021 15:43:14,2430,2459,3900,28596,245998
16/01/2021 16:49:08,2430,2459,3900,28598,245998
16/01/2021 18:51:07,2430,2459,3900,28598,245998
16/01/2021 20:01:04,2430,2459,3900,28598,245998
16/01/2021 22:28:02,2430,2459,3900,28598,245998
16/01/2021 23:39:09,2462,2459,3999,28599,245998
17/01/2021 01:30:54,2462,2459,3999,28599,245998
17/01/2021 02:25:15,2462,2459,3999,28599,245998
17/01/2021 03:18:12,2462,2459,3999,28599,245998
17/01/2021 04:10:47,2462,2459,3999,28599,245998
17/01/2021 05:05:21,2462,2459,3999,28599,245998
17/01/2021 05:57:24,2462,2459,3999,28599,245998
17/01/2021 06:49:21,2462,2459,3999,28597,245998
17/01/2021 07:41:34,2462,2459,3999,28597,245998
17/01/2021 09:26:22,2462,2459,3999,28597,245998
17/01/2021 10:20:20,2462,2459,3999,28597,245998
17/01/2021 12:35:40,2489,2459,4000,28597,245998
17/01/2021 13:29:02,2489,2459,4000,28597,245998
17/01/2021 14:22:41,2489,2459,4000,28597,245998
17/01/2021 15:16:21,2489,2459,4000,28597,245998
17/01/2021 16:10:41,2489,2459,4000,28597,245998
