,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:41:05,18205,6900,19999,250666,690000
11/01/2021 02:50:41,18205,6900,19999,250666,690000
11/01/2021 15:12:20,14788,6999,13123,250000,699999
11/01/2021 15:21:47,14788,6999,13123,250000,699999
11/01/2021 18:12:24,14788,6999,13123,250000,699999
11/01/2021 18:21:52,14788,6999,13123,250000,699999
13/01/2021 14:08:37,11742,6000,25000,189999,600000
13/01/2021 14:20:25,11742,6000,25000,189999,600000
13/01/2021 15:22:29,11742,6000,25000,189999,600000
13/01/2021 16:26:03,11742,6000,24999,189999,600000
13/01/2021 16:38:14,11742,6000,24999,189999,600000
13/01/2021 18:00:25,11742,6000,24999,189999,600000
13/01/2021 18:13:01,11742,6000,24999,189999,600000
13/01/2021 19:07:10,11742,6000,-,189999,600000
13/01/2021 19:19:30,11742,6000,-,189999,600000
13/01/2021 20:22:56,9040,6999,-,99999,699999
13/01/2021 20:33:26,9040,6999,-,99999,699999
14/01/2021 01:03:02,9040,6999,-,99998,699999
14/01/2021 01:15:29,9040,6999,-,99998,699999
14/01/2021 03:02:52,9040,6999,-,99998,699999
14/01/2021 03:14:35,9040,6999,-,99998,699999
14/01/2021 08:06:24,9040,6999,-,99998,699999
14/01/2021 08:18:12,9040,6999,-,99998,699999
