,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:33:49,285,189,200,1899,27950
11/01/2021 02:43:22,285,189,200,1899,27950
11/01/2021 15:05:09,285,185,200,1850,22222
11/01/2021 15:14:35,285,185,200,1850,22222
11/01/2021 18:05:07,285,185,200,1850,22222
11/01/2021 18:14:38,285,185,200,1850,22222
13/01/2021 13:59:11,262,184,200,1840,26998
13/01/2021 14:11:00,262,184,200,1840,26998
13/01/2021 15:12:57,262,184,200,1840,26997
13/01/2021 16:16:38,262,184,200,1840,26997
13/01/2021 16:28:53,262,184,200,1840,26997
13/01/2021 17:50:38,262,184,200,1840,26997
13/01/2021 18:03:21,262,184,200,1840,26997
13/01/2021 18:57:34,262,184,200,1840,26997
13/01/2021 19:09:52,262,184,200,1840,26997
13/01/2021 20:12:52,262,184,200,1840,26997
13/01/2021 22:37:40,262,150,-,1500,26997
13/01/2021 22:46:52,262,150,-,1500,26997
14/01/2021 00:52:51,262,149,-,1499,26996
14/01/2021 01:05:47,262,149,-,1499,26996
14/01/2021 02:53:38,262,149,-,1499,26996
14/01/2021 03:05:28,262,149,-,1499,26996
14/01/2021 07:57:12,262,149,-,1499,26996
14/01/2021 08:09:00,262,149,-,1499,26996
14/01/2021 13:22:32,262,149,-,1499,26996
14/01/2021 13:34:16,262,149,-,1499,26996
14/01/2021 16:33:28,262,149,-,1499,26996
14/01/2021 16:39:47,262,149,-,1499,26996
14/01/2021 20:08:02,258,115,200,1150,26996
14/01/2021 20:20:28,258,115,200,1150,26996
15/01/2021 00:03:34,258,115,200,1150,26995
15/01/2021 00:16:02,258,115,200,1150,26995
15/01/2021 03:00:51,252,149,200,1499,25000
15/01/2021 03:13:35,252,149,200,1499,25000
15/01/2021 05:11:36,252,149,200,1499,25000
15/01/2021 05:23:56,252,149,200,1499,25000
16/01/2021 05:10:46,227,149,200,1499,24997
16/01/2021 05:22:42,227,149,200,1499,24997
16/01/2021 06:13:38,227,149,200,1499,24997
16/01/2021 06:25:27,227,149,200,1499,24997
16/01/2021 07:16:19,227,149,200,1499,24997
16/01/2021 07:28:28,227,149,200,1499,24997
16/01/2021 08:20:22,227,149,200,1499,24997
16/01/2021 08:32:10,227,149,200,1499,24997
16/01/2021 09:24:05,227,149,200,1499,24997
16/01/2021 09:35:51,227,149,200,1499,24997
16/01/2021 10:27:54,227,149,200,1499,24997
16/01/2021 10:40:03,227,149,200,1499,24997
16/01/2021 15:53:25,227,99,99,1499,24997
16/01/2021 16:06:03,227,99,99,1499,24997
16/01/2021 16:59:25,227,99,99,1499,24997
16/01/2021 17:11:58,227,99,99,1499,24997
