,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:40:30,2177,1999,2999,22000,199999
11/01/2021 02:50:06,2177,1999,2999,22000,199999
11/01/2021 15:11:46,2123,2200,2500,22000,233999
11/01/2021 15:21:13,2123,2200,2500,22000,233999
11/01/2021 18:11:50,2154,2339,2500,24999,233998
11/01/2021 18:21:17,2154,2339,2500,24999,233998
13/01/2021 14:07:54,2401,2339,-,24950,233996
13/01/2021 14:19:42,2408,2339,-,24950,233996
13/01/2021 15:21:45,2408,2339,-,24950,233996
13/01/2021 16:25:19,2408,2339,-,24950,233996
13/01/2021 16:37:31,2408,2339,-,24950,233996
13/01/2021 17:59:39,2408,2339,-,24950,233996
13/01/2021 18:12:16,2408,2339,-,24950,233996
13/01/2021 19:06:25,2399,2339,-,-,233996
13/01/2021 19:18:45,2399,2339,-,-,233996
13/01/2021 20:22:11,2399,2339,-,-,233996
13/01/2021 20:32:40,2399,2339,-,-,233996
14/01/2021 01:02:15,2399,2339,-,-,233996
14/01/2021 01:14:44,2399,2339,-,-,233996
14/01/2021 03:02:09,2433,2339,5000,30000,233997
14/01/2021 08:05:40,2480,2339,5000,30000,233997
14/01/2021 08:17:29,2480,2339,5000,30000,233997
