,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:20:45,207813,120000,1999999,8,589444,255000,478340838165,691621
11/01/2021 13:54:11,207848,250000,1999999,5,817110,260000,652835440160,807982
11/01/2021 16:53:31,207848,250000,1999999,5,817110,260000,652835440160,807982
17/01/2021 05:14:03,208069,100000,1655555,8,542638,320000,308316458862,555262
17/01/2021 09:00:25,207584,190000,1655555,8,553888,320000,297946819576,545845
17/01/2021 10:45:20,207584,190000,1655555,8,553888,320000,297946819576,545845
17/01/2021 12:22:09,207584,190000,1655555,8,553888,320000,297946819576,545845
17/01/2021 14:02:48,207584,190000,1655555,8,553888,320000,297946819576,545845
17/01/2021 15:31:26,207584,190000,1655555,8,553888,320000,297946819576,545845
17/01/2021 17:17:55,207774,190000,1655555,8,667083,350000,321825415542,567296
17/01/2021 17:49:55,207774,190000,1655555,8,667083,350000,321825415542,567296
18/01/2021 13:57:29,208333,190000,1655555,8,654333,299000,331623480899,575867
18/01/2021 16:28:05,208333,190000,1655555,8,654333,299000,331623480899,575867
18/01/2021 18:11:56,208333,190000,1655555,8,654333,299000,331623480899,575867
