,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:20:23,241457,142000,1855555,68,355133,224110,117061252753,342142
11/01/2021 13:53:50,244281,135000,1855555,65,344662,225999,108988605183,330134
11/01/2021 16:53:09,243838,118889,1855555,71,360505,225999,130240558002,360888
17/01/2021 05:13:32,224986,119990,2499999,62,443204,253277,206035080524,453910
17/01/2021 08:59:49,224605,119990,2499999,62,442901,253277,206227453002,454122
17/01/2021 10:44:48,224674,119990,1655555,56,370345,250000,105160980544,324285
17/01/2021 12:21:36,224272,119990,2499999,59,440913,255555,211165541660,459527
17/01/2021 14:02:16,224272,104999,2499999,59,414633,250000,186971326477,432401
17/01/2021 15:30:53,224612,99990,2499999,59,400666,250000,178461547948,422447
17/01/2021 17:17:21,226210,89999,2499999,56,397936,245000,189353684205,435147
17/01/2021 17:49:22,231419,110000,2499999,53,385639,250000,166177627241,407648
18/01/2021 13:57:02,226072,100000,2499999,50,425458,237999,195300118964,441927
18/01/2021 16:27:34,225502,99111,2499999,56,390508,199999,184358886355,429370
18/01/2021 18:11:27,225502,99111,2499999,56,372758,197888,175490027418,418915
