,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:20:50,205052,100000,1455555,23,432770,198999,215045215416,463729
11/01/2021 13:54:15,204380,100000,1455555,17,524984,350000,260514672387,510406
11/01/2021 16:53:34,204380,100000,1455555,17,524984,350000,260514672387,510406
17/01/2021 05:14:08,202904,119999,1555555,20,505431,274999,276504670895,525837
17/01/2021 09:00:31,202904,119999,1555555,20,505431,274999,276504670895,525837
17/01/2021 10:45:25,202904,119999,1555555,20,505431,274999,276504670895,525837
17/01/2021 12:22:15,202572,119999,1555555,20,568981,337499,306914081225,553998
17/01/2021 14:02:54,202572,119999,1555555,23,615027,365999,309098686336,555966
17/01/2021 15:31:32,202572,119999,1555555,23,615027,365999,309098686336,555966
17/01/2021 17:18:01,202572,100000,1555555,23,554157,350000,281683247420,530738
17/01/2021 17:50:01,202572,100000,1555555,23,554157,350000,281683247420,530738
18/01/2021 13:57:35,202093,100000,1555555,20,592281,372999,273459296012,522933
18/01/2021 16:28:11,202093,100000,1555555,20,592281,372999,273459296012,522933
18/01/2021 18:12:01,202093,100000,1555555,20,592281,372999,273459296012,522933
