,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:20:39,240019,330000,1655555,14,670578,499999,185741710295,430977
11/01/2021 13:54:06,242432,330000,1655555,11,738918,540000,216449888539,465241
11/01/2021 16:53:26,242432,309999,1655555,11,733373,540000,221276781939,470400
17/01/2021 05:13:54,249443,199990,1899999,20,727325,432499,400402252698,632773
17/01/2021 09:00:15,249443,199990,1899999,20,727325,432499,400402252698,632773
17/01/2021 10:45:09,249443,199990,1899999,20,727325,432499,400402252698,632773
17/01/2021 12:21:59,249443,199990,1899999,20,727325,432499,400402252698,632773
17/01/2021 14:02:39,249443,189990,1899999,20,652998,317499,365611082599,604657
17/01/2021 15:31:17,249443,189990,1899999,20,652998,317499,365611082599,604657
17/01/2021 17:17:44,249443,189990,1899999,20,652998,317499,365611082599,604657
17/01/2021 17:49:44,249443,188888,1899999,20,582442,269999,324507175631,569655
18/01/2021 13:57:20,251015,159990,1899999,23,502800,240000,310413086912,557147
18/01/2021 16:27:55,251015,149999,1899999,26,529400,250000,325671733203,570676
18/01/2021 18:11:46,250562,159990,1899999,26,537861,264999,320855799958,566441
