,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:29,3185,2700,2899,27000,299999
11/01/2021 15:23:14,3128,2639,2899,26399,299998
11/01/2021 18:23:20,3128,2000,2000,24997,299998
14/01/2021 02:08:00,2954,2898,2898,31000,299998
14/01/2021 07:11:49,2954,2888,2888,31000,299998
14/01/2021 12:37:03,3511,2800,2800,28999,399999
14/01/2021 14:39:04,3459,2800,2800,28999,320000
14/01/2021 15:46:22,3459,2799,2800,27999,320000
14/01/2021 19:20:23,3459,2459,2459,24999,315000
14/01/2021 23:15:35,3158,2499,2900,24998,314999
15/01/2021 02:13:29,3158,2489,2900,24899,314000
15/01/2021 04:23:50,3158,2400,2899,24000,314000
