,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:46,315,289,-,7900,28999
11/01/2021 02:53:52,315,289,-,7900,28999
11/01/2021 15:23:31,303,292,-,7900,29228
11/01/2021 15:23:37,303,292,-,7900,29228
11/01/2021 18:23:37,303,292,-,7500,29227
11/01/2021 18:23:43,303,292,-,7500,29227
14/01/2021 02:08:21,250,249,-,7499,24999
14/01/2021 02:08:29,250,249,-,7499,24999
14/01/2021 07:12:11,271,180,-,7499,18000
14/01/2021 07:12:19,271,180,-,7499,18000
14/01/2021 12:37:24,243,180,-,2000,18000
14/01/2021 12:37:32,243,180,-,2000,18000
14/01/2021 14:39:25,243,180,-,2000,18000
14/01/2021 14:39:33,243,180,-,2000,18000
14/01/2021 15:46:44,243,180,-,2000,18000
14/01/2021 15:46:52,243,180,-,2000,18000
14/01/2021 19:20:45,281,200,-,2000,29399
14/01/2021 19:20:53,281,200,-,2000,29399
14/01/2021 23:15:57,303,250,-,7499,25000
14/01/2021 23:16:05,303,250,-,7499,25000
15/01/2021 02:13:52,286,250,-,7499,25000
15/01/2021 02:14:00,286,250,-,7499,25000
15/01/2021 04:24:13,306,250,-,7499,25000
15/01/2021 04:24:21,306,250,-,7499,25000
17/01/2021 01:32:58,174,175,-,4999,17500
17/01/2021 01:33:06,174,175,-,4999,17500
17/01/2021 02:34:41,174,180,-,4999,18000
17/01/2021 02:34:48,174,180,-,4999,18000
17/01/2021 05:44:01,174,180,-,4999,18000
17/01/2021 05:44:09,174,180,-,4999,18000
17/01/2021 06:54:15,174,180,-,4999,18000
17/01/2021 06:54:23,174,180,-,4999,18000
17/01/2021 09:32:29,174,180,-,4999,18000
17/01/2021 09:32:37,174,180,-,4999,18000
17/01/2021 11:16:39,288,294,-,4999,29400
17/01/2021 11:16:47,288,294,-,4999,29400
17/01/2021 12:54:44,288,290,-,4999,29000
17/01/2021 12:54:52,288,290,-,4999,29000
17/01/2021 14:34:00,288,290,-,4999,29000
17/01/2021 14:34:08,288,290,-,4999,29000
17/01/2021 16:02:59,278,294,-,4999,29400
17/01/2021 16:03:07,278,294,-,4999,29400
17/01/2021 18:22:46,289,294,-,4999,29499
17/01/2021 18:22:55,289,294,-,4999,29499
18/01/2021 14:25:43,500,449,-,7499,44995
18/01/2021 14:25:50,500,449,-,7499,44995
18/01/2021 15:26:41,499,449,-,7499,44995
18/01/2021 15:26:49,499,449,-,7499,44995
18/01/2021 16:56:30,499,449,-,7499,44995
18/01/2021 16:56:38,499,449,-,7499,44995
