,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:35,438,437,2299,5500,43798
11/01/2021 15:23:20,431,424,2299,5698,42499
11/01/2021 18:23:25,414,414,2299,5698,41499
14/01/2021 02:08:14,450,479,2000,5799,47972
14/01/2021 07:12:03,473,260,2000,5799,26000
14/01/2021 12:37:17,479,479,2000,5799,47970
14/01/2021 14:39:18,479,474,2000,5799,47499
14/01/2021 15:46:37,479,470,2000,5799,47000
14/01/2021 19:20:37,475,450,2000,5799,45000
14/01/2021 23:15:50,463,400,2000,5799,40000
15/01/2021 02:13:44,463,399,2000,5799,39998
15/01/2021 04:24:05,463,399,2000,5799,39900
17/01/2021 01:32:49,363,379,2000,5899,37997
17/01/2021 02:34:32,363,370,2000,5899,37000
17/01/2021 05:43:52,363,369,2000,5899,36999
17/01/2021 06:54:07,363,369,2000,5899,36999
17/01/2021 09:32:20,375,378,2000,5899,37895
17/01/2021 11:16:30,383,389,2000,5899,38995
17/01/2021 12:54:35,394,380,2000,5899,38000
17/01/2021 14:33:51,388,350,2000,5899,35000
17/01/2021 16:02:51,358,349,2000,5899,34994
17/01/2021 18:22:37,345,325,2000,5899,32500
18/01/2021 14:25:35,350,389,2000,5799,38997
18/01/2021 15:26:34,373,380,2000,5799,38000
18/01/2021 16:56:23,373,379,2000,5799,37999
