,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:09,95,113,-,-,11300
11/01/2021 15:22:54,104,103,1000,3198,10350
11/01/2021 18:22:59,106,103,1000,3198,10300
14/01/2021 02:07:35,69,68,-,2000,6870
14/01/2021 07:11:23,68,67,-,2000,6755
14/01/2021 12:36:38,61,68,-,1997,6870
14/01/2021 14:38:40,63,68,-,1997,6867
14/01/2021 15:45:56,63,68,-,1995,6867
14/01/2021 19:19:58,48,44,-,800,4400
14/01/2021 23:15:09,42,43,-,800,4398
15/01/2021 02:13:04,44,43,-,800,4398
15/01/2021 04:23:24,44,40,-,800,4000
