,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:49,1311,1099,3666,16798,109999
11/01/2021 02:53:55,1311,1099,3666,16798,109999
11/01/2021 15:23:34,1247,999,3665,16797,99999
11/01/2021 15:23:40,1247,999,3665,16797,99999
11/01/2021 18:23:39,1071,1069,3665,16000,106999
11/01/2021 18:23:45,1071,1069,3665,16000,106999
14/01/2021 02:08:25,1139,999,3666,-,99900
14/01/2021 02:08:33,1139,999,3666,-,99900
14/01/2021 07:12:14,1149,800,3666,12499,80000
14/01/2021 07:12:22,1149,800,3666,12499,80000
