,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:53:12,6873,6000,7000,68999,600000
11/01/2021 15:22:57,6369,5998,5998,68998,600000
11/01/2021 18:23:02,6369,5899,5899,68995,600000
14/01/2021 02:07:38,7043,6899,7000,68999,749999
14/01/2021 07:11:27,7020,6800,7395,68000,749999
14/01/2021 12:36:42,7004,6980,7000,69800,749999
14/01/2021 14:38:43,7017,7200,7399,72000,740000
14/01/2021 15:46:00,7017,7200,7399,72000,740000
14/01/2021 19:20:01,7137,7392,7400,76550,739222
14/01/2021 23:15:12,7217,7392,-,74999,739212
15/01/2021 02:13:07,7232,7390,7599,74999,739001
15/01/2021 04:23:28,7232,7389,7500,74999,738999
17/01/2021 01:32:10,5858,5999,6299,59996,750000
17/01/2021 02:33:55,5858,5999,6299,59996,750000
17/01/2021 05:43:12,5985,5999,6299,59996,610000
17/01/2021 06:53:25,5985,5999,6299,59996,610000
17/01/2021 09:31:39,5976,5999,6299,59996,610000
17/01/2021 11:15:49,5976,5999,6299,59996,610000
17/01/2021 12:53:52,5985,5999,-,59998,610000
17/01/2021 14:33:09,5985,3500,3500,59998,610000
17/01/2021 16:02:09,5985,3500,3500,59998,610000
17/01/2021 18:21:55,5959,5000,5000,59999,610000
18/01/2021 14:24:57,5581,3997,3997,55000,555554
18/01/2021 15:25:57,5581,3997,3997,55000,555554
18/01/2021 16:55:46,5531,4500,4500,55000,569999
