,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:17:04,19582,19990,19990,2,19990,19990,0,0
11/01/2021 13:50:25,19584,19990,19990,1,,,,
11/01/2021 16:49:44,19584,19990,19990,1,,,,
17/01/2021 05:09:26,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 08:55:14,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 10:40:40,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 12:17:29,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 13:58:16,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 15:26:38,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 17:13:04,19624,49999,100000,3,74999,75000,625025000,25000
17/01/2021 17:44:58,19624,49900,100000,4,68724,62499,574181650,23962
18/01/2021 13:53:29,19624,49900,100000,4,68724,62499,574181650,23962
18/01/2021 16:23:59,19624,49900,100000,4,68724,62499,574181650,23962
18/01/2021 18:07:52,19624,49900,100000,4,68724,62499,574181650,23962
