,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:17:33,32507,65000,65000,1,,,,
11/01/2021 13:50:58,32507,65000,65000,1,,,,
11/01/2021 16:50:17,32507,65000,65000,1,,,,
17/01/2021 05:10:07,32652,20000,20000,1,,,,
17/01/2021 08:55:59,32652,20000,20000,1,,,,
17/01/2021 10:41:23,32652,20000,20000,1,,,,
17/01/2021 12:18:10,32652,20000,20000,1,,,,
17/01/2021 13:58:57,32652,20000,20000,1,,,,
17/01/2021 15:27:26,32652,20000,20000,1,,,,
17/01/2021 17:13:52,32652,20000,20000,1,,,,
17/01/2021 17:45:48,32652,20000,20000,1,,,,
18/01/2021 13:54:03,32652,20000,20000,1,,,,
18/01/2021 16:24:34,32652,20000,20000,1,,,,
18/01/2021 18:08:35,32652,20000,20000,1,,,,
