,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:21:40,118789,100000,28999999,38,942242,178000,21859280327585,4675390
11/01/2021 13:55:03,118705,102111,28999999,38,947025,178000,21852636954779,4674680
11/01/2021 16:54:23,118631,102111,28999999,38,953549,178000,21842932674664,4673642
17/01/2021 05:15:22,118253,120000,250000,14,173476,176500,1134460964,33681
17/01/2021 09:01:46,118261,140000,250000,14,179190,178000,933436788,30552
17/01/2021 10:46:42,118359,140000,250000,14,179190,178000,933436788,30552
17/01/2021 12:23:31,118276,100000,250000,17,172274,178000,1595575964,39944
17/01/2021 14:04:09,118194,100000,250000,14,172047,176500,1327574151,36435
17/01/2021 15:32:50,118194,100000,250000,14,170476,176500,1267537118,35602
17/01/2021 17:19:21,118113,140000,250000,14,179047,178000,995011843,31543
17/01/2021 17:51:25,118113,140000,250000,14,179047,178000,995011843,31543
18/01/2021 13:58:41,118672,119000,250000,17,151842,140000,1089765310,33011
18/01/2021 16:29:16,118672,119000,250000,17,150724,140000,1034876332,32169
18/01/2021 18:13:07,118672,119000,250000,17,150724,140000,1034876332,32169
