,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:23:17,1201229,899999,3999999,17,2008235,1350000,1149990449264,1072376
11/01/2021 13:56:42,1196219,800000,3999999,14,2052857,1390000,1163606446593,1078705
11/01/2021 16:56:05,1194442,1000000,3999999,14,2227857,1965000,1120125731208,1058359
17/01/2021 05:17:02,1208826,799990,7777777,29,1945713,1250000,2505701005008,1582940
17/01/2021 09:03:55,1208826,799990,7777777,29,1945713,1250000,2505701005008,1582940
17/01/2021 10:48:53,1208826,799990,7777777,29,1945713,1250000,2505701005008,1582940
17/01/2021 12:25:50,1207855,799990,7777777,26,1931757,1275000,2579360494513,1606038
17/01/2021 14:06:14,1206026,799990,7777777,26,2054834,1400000,2683476641669,1638132
17/01/2021 15:34:59,1206026,799990,7777777,26,2054834,1400000,2683476641669,1638132
17/01/2021 17:21:38,1208017,799990,7777777,26,2027141,1275000,2726733548254,1651282
17/01/2021 17:53:50,1206770,799990,7777777,23,1903290,1250000,2673976774902,1635229
18/01/2021 14:00:14,1199697,750000,7777777,23,1998943,1250000,2885342938704,1698629
18/01/2021 16:31:04,1201941,750000,7777777,23,2098943,1250000,3052836411336,1747236
18/01/2021 18:14:48,1200138,750000,7777777,23,2098943,1250000,3052836411336,1747236
