,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:14:59,38,40,40,1,,,,
11/01/2021 13:48:15,38,40,40,1,,,,
11/01/2021 16:47:31,38,40,40,1,,,,
17/01/2021 01:05:42,37,10,10,1,,,,
17/01/2021 05:07:18,37,10,10,1,,,,
17/01/2021 08:52:55,37,10,10,1,,,,
17/01/2021 10:38:18,37,10,10,1,,,,
17/01/2021 12:15:01,37,10,10,1,,,,
17/01/2021 13:56:06,37,10,10,1,,,,
17/01/2021 15:24:16,37,10,10,1,,,,
17/01/2021 17:10:28,37,10,10,1,,,,
17/01/2021 17:42:23,37,10,10,1,,,,
18/01/2021 13:51:33,37,20,20,1,,,,
18/01/2021 16:22:02,37,20,20,1,,,,
18/01/2021 18:05:56,37,20,20,1,,,,
