,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:22:21,140768,150000,650000,29,234827,220000,7431221699,86204
11/01/2021 13:55:43,141034,150000,650000,29,238275,220000,7527281059,86759
11/01/2021 16:54:59,141276,150000,650000,29,241896,220000,7582884766,87079
17/01/2021 05:15:43,147083,200000,320000,8,243750,215000,2791071428,52830
17/01/2021 09:02:11,147083,200000,320000,8,243750,215000,2791071428,52830
17/01/2021 10:47:04,147083,199999,320000,20,212499,199999,1143438158,33814
17/01/2021 12:23:55,147083,199999,320000,17,218822,199999,1773562353,42113
17/01/2021 14:04:31,148092,199999,300000,14,207141,199999,714300000,26726
17/01/2021 15:33:13,148092,199999,300000,14,207141,199999,714300000,26726
17/01/2021 17:19:44,148092,199999,300000,14,207141,199999,714300000,26726
17/01/2021 17:51:48,148092,199999,300000,14,207141,199999,714300000,26726
18/01/2021 13:59:01,149366,199999,199999,11,199999,199999,0,0
18/01/2021 16:29:37,149366,199999,199999,11,199999,199999,0,0
18/01/2021 18:13:28,149366,199999,199999,11,199999,199999,0,0
