,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:15:48,6969,398,13500,8,4986,5997,20059280,4478
11/01/2021 13:49:08,6969,398,13500,8,4986,5997,20059280,4478
11/01/2021 16:48:24,6969,398,13500,8,4986,5997,20059280,4478
17/01/2021 01:06:51,6940,500,13500,5,4800,3000,29700000,5449
17/01/2021 05:08:13,6940,500,13500,5,4800,3000,29700000,5449
17/01/2021 08:53:55,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 10:39:23,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 12:16:14,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 13:57:07,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 15:25:23,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 17:11:40,6940,500,13500,8,4250,3000,20142857,4488
17/01/2021 17:43:31,6940,500,13500,8,4250,3000,20142857,4488
18/01/2021 13:52:12,6807,6500,13500,2,10000,10000,24500000,4949
18/01/2021 16:22:40,6807,6500,13500,2,10000,10000,24500000,4949
18/01/2021 18:06:34,6807,6500,13500,2,10000,10000,24500000,4949
