,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:54:27,9,6,-,299,698
11/01/2021 15:24:12,8,10,-,299,1000
11/01/2021 18:24:18,8,10,-,299,1000
14/01/2021 02:09:13,9,9,-,290,999
14/01/2021 07:13:04,9,9,-,290,999
14/01/2021 12:38:14,9,9,-,290,999
14/01/2021 14:40:15,9,9,-,290,999
14/01/2021 15:47:36,9,9,-,290,999
14/01/2021 19:21:38,9,9,-,290,999
14/01/2021 23:16:50,9,5,-,290,500
15/01/2021 02:14:46,9,5,-,290,500
15/01/2021 04:25:09,9,5,-,290,500
17/01/2021 01:33:54,7,9,-,289,998
17/01/2021 02:35:36,7,9,-,289,998
17/01/2021 05:45:00,7,9,-,289,998
17/01/2021 06:55:14,7,9,-,289,998
17/01/2021 09:33:28,7,9,-,289,998
17/01/2021 11:17:39,7,9,-,289,998
17/01/2021 12:55:42,7,9,-,289,998
17/01/2021 14:34:58,7,9,-,289,998
17/01/2021 16:04:00,7,9,-,289,998
17/01/2021 18:23:48,7,9,-,285,998
18/01/2021 14:26:36,7,9,-,285,997
18/01/2021 15:27:35,7,9,-,285,997
18/01/2021 16:57:24,7,9,-,285,997
