,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:49,14,9,-,300,990
11/01/2021 02:46:25,14,9,-,300,990
11/01/2021 15:08:11,12,0,-,0,890
11/01/2021 15:17:36,12,0,-,0,890
11/01/2021 18:08:07,11,0,-,0,1300
11/01/2021 18:17:37,11,13,-,300,1300
13/01/2021 14:03:10,39,19,-,199,3500
13/01/2021 14:14:58,39,19,-,199,3500
13/01/2021 15:16:58,39,19,-,199,3500
13/01/2021 16:20:38,39,19,-,199,3500
13/01/2021 16:32:46,39,19,-,199,3500
13/01/2021 17:54:49,38,19,-,199,3500
13/01/2021 18:07:27,38,19,-,199,3500
13/01/2021 19:01:37,38,19,-,199,3500
13/01/2021 19:13:57,38,19,-,199,3500
13/01/2021 20:17:10,38,34,-,-,3499
13/01/2021 20:27:49,38,34,-,-,3499
13/01/2021 22:42:02,38,19,20,198,3997
13/01/2021 22:51:15,38,19,20,198,3997
14/01/2021 00:57:17,37,19,20,198,2499
14/01/2021 01:09:50,37,19,20,198,2499
14/01/2021 02:57:31,37,19,20,198,2499
14/01/2021 03:09:18,37,19,20,198,2499
14/01/2021 08:01:04,33,19,20,198,2450
14/01/2021 08:12:51,33,19,20,198,2450
14/01/2021 13:26:24,33,19,20,197,1995
14/01/2021 13:38:00,33,19,20,197,1995
14/01/2021 16:37:24,33,19,20,197,1995
14/01/2021 16:43:49,33,19,20,197,1995
14/01/2021 20:11:58,19,19,20,196,1994
14/01/2021 20:24:32,19,19,20,196,1994
15/01/2021 00:07:39,23,16,20,196,1680
15/01/2021 00:20:05,23,16,20,196,1680
15/01/2021 03:05:01,23,14,20,196,1444
15/01/2021 03:17:37,23,14,20,196,1444
15/01/2021 05:15:42,23,14,20,196,1444
15/01/2021 05:27:54,23,14,20,196,1444
16/01/2021 05:14:45,10,11,20,196,1111
16/01/2021 05:26:35,10,10,20,196,1000
16/01/2021 06:17:30,10,10,20,196,1000
16/01/2021 06:29:16,10,10,20,196,1000
16/01/2021 07:20:11,10,10,20,196,1000
16/01/2021 07:32:28,10,10,20,196,1000
16/01/2021 08:24:12,10,10,20,196,1000
16/01/2021 08:36:02,10,10,20,196,1000
16/01/2021 09:27:55,10,10,20,196,1000
16/01/2021 09:39:42,10,10,20,196,1000
16/01/2021 10:31:45,10,11,20,196,1111
16/01/2021 10:43:58,10,11,20,196,1111
16/01/2021 15:57:35,54,10,20,102,5000
16/01/2021 16:10:05,54,10,20,102,5000
16/01/2021 17:03:31,54,10,20,102,4999
16/01/2021 17:16:05,54,10,20,102,4999
16/01/2021 19:06:06,54,10,20,102,3000
16/01/2021 19:19:00,54,10,20,102,3000
16/01/2021 20:16:24,54,10,20,102,3000
16/01/2021 20:29:31,54,10,20,102,3000
16/01/2021 22:43:31,54,10,20,102,3000
16/01/2021 22:57:02,54,10,20,102,3000
16/01/2021 23:54:21,54,10,20,102,3000
17/01/2021 00:07:20,54,10,20,102,2999
