,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:27,73,0,-,0,7000
11/01/2021 14:53:59,70,80,-,3000,8000
11/01/2021 17:53:41,80,80,-,-,8000
13/01/2021 13:44:43,288,750,2000,-,75000
13/01/2021 14:58:49,288,750,2000,-,75000
13/01/2021 16:02:25,288,750,2000,-,75000
13/01/2021 17:35:46,288,750,2000,-,75000
13/01/2021 18:42:59,288,750,2000,-,75000
13/01/2021 19:57:01,296,750,-,19998,75000
13/01/2021 22:22:20,296,750,-,19998,75000
14/01/2021 00:38:37,296,750,-,19998,75000
14/01/2021 02:39:19,296,750,-,19998,75000
14/01/2021 07:42:49,296,749,-,19998,74999
14/01/2021 13:07:54,296,1999,-,19998,-
14/01/2021 16:18:33,296,1999,-,19998,-
14/01/2021 19:52:37,296,1999,-,19998,-
14/01/2021 23:48:34,296,1999,-,19998,-
15/01/2021 02:45:56,296,1999,-,19998,-
15/01/2021 04:56:52,296,1999,-,19998,-
16/01/2021 04:56:29,560,1599,1599,19990,-
16/01/2021 05:59:29,560,1599,1599,19990,-
16/01/2021 07:02:10,560,1599,1599,19990,-
16/01/2021 08:05:58,560,1599,1599,19990,-
16/01/2021 09:09:42,560,1599,1599,19990,-
16/01/2021 10:13:23,560,1599,1599,19990,-
16/01/2021 11:17:45,560,1599,1599,19990,-
16/01/2021 15:38:55,560,745,1599,19990,74500
16/01/2021 16:44:47,560,745,1599,19990,74500
16/01/2021 18:46:44,560,300,300,19990,74500
16/01/2021 19:56:28,560,300,300,19990,74500
16/01/2021 21:06:42,560,300,300,19990,74500
16/01/2021 22:23:23,560,300,300,19990,74500
16/01/2021 23:34:28,560,300,300,19990,74500
17/01/2021 01:26:19,560,300,300,19990,74500
17/01/2021 02:20:52,560,300,300,19990,74500
17/01/2021 03:14:00,560,300,300,19990,74500
17/01/2021 04:06:36,560,300,300,19990,74500
17/01/2021 05:01:10,560,300,300,19990,74500
17/01/2021 05:53:15,560,300,300,19990,74500
17/01/2021 06:45:09,560,300,300,19990,74500
17/01/2021 07:37:17,560,300,300,19990,74500
17/01/2021 09:22:13,560,300,300,19990,74500
17/01/2021 10:15:51,560,300,300,19990,74500
17/01/2021 12:31:18,560,300,300,19990,74500
17/01/2021 13:24:40,560,300,300,19990,74500
17/01/2021 14:18:32,560,300,300,19990,74500
17/01/2021 15:12:00,560,300,300,19990,74500
17/01/2021 16:06:20,560,300,300,19990,74500
18/01/2021 15:37:14,560,200,200,7000,74494
18/01/2021 16:47:05,560,200,200,7000,74494
18/01/2021 17:18:53,560,200,200,7000,74494
18/01/2021 17:51:26,560,200,200,7000,74494
18/01/2021 18:21:24,560,200,200,7000,74494
