,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:21:59,815,870,899,8700,87000
11/01/2021 14:53:31,805,870,899,8700,87000
11/01/2021 17:53:13,805,870,899,8700,87000
13/01/2021 13:44:09,835,850,860,8500,86999
13/01/2021 14:58:16,835,850,860,8500,86999
13/01/2021 16:01:53,835,850,860,8500,86999
13/01/2021 17:35:12,835,850,860,8500,86999
13/01/2021 18:42:27,835,850,860,8500,86999
13/01/2021 19:56:27,836,850,860,8500,86999
13/01/2021 22:21:45,836,850,860,8500,86999
14/01/2021 00:38:03,836,850,860,8500,86999
14/01/2021 02:38:48,836,850,860,8500,86999
14/01/2021 07:42:16,836,850,860,8500,86999
14/01/2021 13:07:22,837,850,860,8500,85000
14/01/2021 16:17:59,837,850,860,8500,85000
14/01/2021 19:52:04,841,860,860,8700,86999
14/01/2021 23:48:01,841,869,999,8700,86998
15/01/2021 02:45:23,842,869,999,-,86998
15/01/2021 04:56:20,842,869,999,-,86998
16/01/2021 04:56:05,806,799,-,-,79999
16/01/2021 05:59:05,806,799,-,-,79999
16/01/2021 07:01:46,806,799,-,-,79999
16/01/2021 08:05:32,806,799,-,-,79999
16/01/2021 09:09:18,806,799,-,-,79999
16/01/2021 10:12:51,806,799,800,-,79999
16/01/2021 11:17:12,806,799,800,10000,79999
16/01/2021 15:38:22,806,750,800,10000,75000
16/01/2021 16:44:14,806,750,800,10000,75000
16/01/2021 18:46:11,806,750,800,10000,75000
16/01/2021 19:55:51,806,750,800,9998,75000
16/01/2021 21:06:08,806,730,800,9998,73000
16/01/2021 22:22:50,806,730,800,9998,73000
16/01/2021 23:33:53,806,730,800,9998,73000
17/01/2021 01:25:44,806,720,800,9998,72000
17/01/2021 02:20:19,806,720,800,9998,72000
17/01/2021 03:13:28,806,720,800,9998,72000
17/01/2021 04:06:04,806,720,800,9998,72000
17/01/2021 05:00:34,806,720,800,9998,72000
17/01/2021 05:52:39,806,720,800,9998,72000
17/01/2021 06:44:34,806,720,800,9998,72000
17/01/2021 07:36:41,814,720,800,9998,72000
17/01/2021 09:21:36,814,720,800,9998,72000
17/01/2021 10:15:12,814,720,800,9998,72000
17/01/2021 12:30:39,814,700,800,9998,70000
17/01/2021 13:24:03,814,700,800,9998,70000
17/01/2021 14:17:56,814,700,800,9998,70000
17/01/2021 15:11:22,814,700,800,9998,70000
17/01/2021 16:05:42,814,700,800,9998,70000
18/01/2021 14:02:12,761,750,800,9998,75000
18/01/2021 14:35:08,761,750,800,9998,75000
18/01/2021 15:07:07,761,750,800,9998,75000
18/01/2021 15:36:33,761,750,800,9998,75000
18/01/2021 16:13:52,761,750,800,9998,75000
18/01/2021 16:46:36,761,750,800,9998,75000
18/01/2021 17:18:12,761,750,800,9998,75000
18/01/2021 17:50:59,761,750,800,9998,75000
18/01/2021 18:20:43,761,750,800,9998,75000
