,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:36:33,8139,9999,31999,38,15590,10000,44551594,6674
11/01/2021 14:09:17,8473,13000,31999,23,20447,20000,23462343,4843
11/01/2021 17:08:38,8963,9000,31999,14,22068,22977,29757011,5454
17/01/2021 01:39:46,10914,8999,38000,20,18444,14999,94961678,9744
17/01/2021 09:39:39,10907,10000,38000,17,21248,23000,99326068,9966
17/01/2021 11:24:04,10938,6000,40000,23,20400,23000,138092246,11751
17/01/2021 13:01:57,10916,5999,40000,29,19727,14999,154830788,12443
17/01/2021 14:41:08,10894,2000,40000,41,14807,9999,144325663,12013
18/01/2021 14:32:19,10046,8000,38000,20,20694,25000,132560934,11513
18/01/2021 17:03:01,10059,7999,38000,35,16910,11500,99967166,9998
