,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:40:23,45997,125000,145000,2,135000,135000,200000000,14142
11/01/2021 14:12:54,45997,125000,145000,2,135000,135000,200000000,14142
11/01/2021 17:12:19,45997,125000,145000,2,135000,135000,200000000,14142
17/01/2021 01:43:09,46306,90000,145000,4,115000,112500,616666666,24832
17/01/2021 09:43:47,46306,90000,125000,4,102500,97500,241666666,15545
17/01/2021 11:28:16,46306,90000,125000,4,102500,97500,241666666,15545
17/01/2021 13:06:10,46306,90000,125000,4,102500,97500,241666666,15545
17/01/2021 14:45:29,46306,90000,125000,4,102500,97500,241666666,15545
18/01/2021 14:36:10,46306,90000,125000,4,102500,97500,241666666,15545
18/01/2021 17:06:57,46306,90000,125000,4,102500,97500,241666666,15545
