,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:36:11,17619,998,1000000,25,76663,2000,62298685683,249597
11/01/2021 14:08:52,16029,899,1200000,26,148232,2000,122926430420,350608
11/01/2021 17:08:13,15961,896,1200000,35,109149,999,94881136455,308027
17/01/2021 01:39:01,7681,899,1499999,47,395518,2000,306548786771,553668
17/01/2021 09:38:50,7414,1200,1499999,47,395288,1999,306732097300,553833
17/01/2021 11:23:10,7358,999,1499999,50,431545,1999,339510067029,582674
17/01/2021 13:01:04,7220,1100,1499999,50,431601,2111,339460505748,582632
17/01/2021 14:40:16,7166,1100,999999,41,221833,1999,154951068777,393638
18/01/2021 14:31:32,8701,1000,1499999,44,508911,14749,353105684199,594226
18/01/2021 17:02:11,11950,1200,1499999,44,559916,42000,386998087978,622091
