,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:39:09,305049,169999,650000,11,351908,250000,31290073582,176890
11/01/2021 14:11:45,305672,169999,650000,8,293249,210500,32185963714,179404
11/01/2021 17:11:09,305672,169999,650000,8,293249,210500,32185963714,179404
17/01/2021 01:42:29,306886,110000,499999,11,279636,225000,23130410472,152086
17/01/2021 09:42:25,306886,110000,499999,11,279636,225000,23130410472,152086
17/01/2021 11:26:49,306886,110000,499999,11,279636,225000,23130410472,152086
17/01/2021 13:04:42,306886,110000,899999,11,320545,225000,56872120945,238478
17/01/2021 14:43:59,306886,110000,899999,11,320545,225000,56872120945,238478
18/01/2021 14:34:55,307550,105000,899999,11,304181,196000,61627268982,248248
18/01/2021 17:05:40,306642,110000,899999,11,311908,196000,58898026818,242689
