,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:38:33,18444,2500,55000,53,16938,14999,174537897,13211
11/01/2021 14:11:08,18374,5400,59995,53,19356,15000,192246469,13865
11/01/2021 17:10:32,18450,5500,59995,50,18459,15000,161824672,12721
17/01/2021 01:41:43,23478,8000,58999,41,20379,14999,196121580,14004
17/01/2021 09:41:34,-,8000,58999,41,19608,14500,175744432,13256
17/01/2021 11:25:58,24331,8000,58999,41,20934,14500,227280958,15075
17/01/2021 13:03:52,24850,7999,59995,38,19879,14500,202700955,14237
17/01/2021 14:43:11,24827,7999,59991,38,21387,16560,226920271,15063
18/01/2021 14:34:11,-,15555,40000,23,23800,20000,53353986,7304
18/01/2021 17:04:55,24944,10000,45000,32,24681,24249,72693248,8526
