,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:45:47,1532828,1600000,8000000,20,4776077,5249999,5435008259662,2331310
11/01/2021 14:18:23,1532828,1600000,8000000,20,4776077,5249999,5435008259662,2331310
11/01/2021 17:17:45,1532828,1600000,8000000,20,4776077,5249999,5435008259662,2331310
17/01/2021 11:35:43,1527036,699990,8000000,32,2797789,1449499,7032647153107,2651913
17/01/2021 11:35:58,1527036,699990,8000000,32,2797789,1449499,7032647153107,2651913
17/01/2021 13:13:47,1519635,699990,8000000,32,3045707,1499499,7627462658951,2761786
17/01/2021 13:14:03,1519635,699990,8000000,32,3045707,1499499,7627462658951,2761786
17/01/2021 14:53:13,1519635,699990,8000000,32,3045707,1499499,7627462658951,2761786
17/01/2021 14:53:28,1519635,699990,8000000,32,3045707,1499499,7627462658951,2761786
18/01/2021 14:43:26,1511854,699990,8000000,28,2560768,1349999,6405055255043,2530821
18/01/2021 14:43:40,1511854,699990,8000000,28,2560768,1349999,6405055255043,2530821
18/01/2021 17:13:22,1511854,698499,8000000,32,2493434,1300000,7079043798431,2660647
18/01/2021 17:13:36,1511854,698499,8000000,32,2493434,1300000,7079043798431,2660647
