,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:35:55,43,39,-,399,9000
11/01/2021 02:45:31,43,39,-,399,9000
11/01/2021 15:07:19,43,39,-,399,9000
11/01/2021 15:16:44,43,39,-,399,9000
11/01/2021 18:07:14,43,39,-,399,9000
11/01/2021 18:16:45,43,39,-,399,9000
13/01/2021 14:01:59,43,39,-,399,9000
13/01/2021 14:13:49,43,39,-,399,9000
13/01/2021 15:15:49,43,39,-,399,9000
13/01/2021 16:19:28,43,39,-,399,9000
13/01/2021 16:31:38,43,39,-,399,9000
13/01/2021 17:53:36,43,39,-,399,9000
13/01/2021 18:06:15,43,39,-,399,9000
13/01/2021 19:00:24,43,39,-,399,9000
13/01/2021 19:12:43,43,39,-,399,9000
13/01/2021 20:15:53,43,1,-,10,9000
13/01/2021 20:26:37,43,1,-,10,9000
13/01/2021 22:40:46,43,1,-,10,9000
13/01/2021 22:49:57,43,1,-,10,9000
14/01/2021 00:56:06,43,1,-,10,9000
14/01/2021 01:08:41,43,1,-,10,9000
14/01/2021 02:56:25,43,1,-,10,9000
14/01/2021 03:08:13,43,1,-,10,9000
14/01/2021 07:59:59,43,1,-,10,9000
14/01/2021 08:11:46,43,1,-,10,9000
