,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:02:48,1562,1500,2500,15000,177395
11/01/2021 14:34:18,1560,1773,2499,-,177395
11/01/2021 17:34:02,1560,1773,2499,25000,177395
13/01/2021 11:57:24,1711,1774,3000,19000,177400
13/01/2021 11:57:27,1711,1774,3000,19000,177400
13/01/2021 12:44:53,1711,1774,-,19000,177400
13/01/2021 12:44:57,1711,1774,2999,19000,177400
13/01/2021 13:23:02,1711,1774,-,19000,177400
13/01/2021 13:23:06,1711,1774,-,19000,177400
13/01/2021 14:34:05,1711,1774,-,19000,177400
13/01/2021 14:34:09,1711,1774,-,19000,177400
13/01/2021 15:37:26,1711,1774,-,19000,177400
13/01/2021 15:37:29,1711,1774,-,19000,177400
13/01/2021 17:09:51,1711,1774,-,19000,177400
13/01/2021 17:09:55,1711,1774,-,19000,177400
13/01/2021 18:17:06,1711,1774,-,19000,177400
13/01/2021 18:17:09,1711,1774,-,19000,177400
13/01/2021 19:30:54,1711,1774,-,19000,177400
13/01/2021 19:30:58,1711,1774,-,19000,177400
13/01/2021 21:56:16,1711,1774,-,19000,177400
13/01/2021 21:56:20,1711,1774,-,19000,177400
14/01/2021 00:12:55,1711,1774,-,19000,177400
14/01/2021 00:12:59,1711,1774,-,19000,177400
14/01/2021 02:14:21,1711,1100,-,11000,177400
14/01/2021 02:14:25,1711,1100,-,11000,177400
14/01/2021 07:18:08,1711,1100,-,11000,177000
14/01/2021 12:43:16,1635,1100,2999,11000,177000
14/01/2021 12:43:19,1635,1100,2999,11000,177000
14/01/2021 15:52:48,1635,1100,2999,11000,176000
14/01/2021 15:52:51,1635,1100,2999,11000,176000
14/01/2021 19:26:53,1635,1100,2990,11000,176000
14/01/2021 19:26:56,1635,1100,2990,11000,176000
14/01/2021 23:22:20,1565,1760,2990,19998,176000
14/01/2021 23:22:24,1565,1760,2990,19998,176000
15/01/2021 02:20:16,1565,1760,2990,19998,176000
15/01/2021 02:20:19,1565,1760,2990,19998,176000
15/01/2021 04:30:47,1565,1760,2990,19998,176000
15/01/2021 04:30:50,1565,1760,2990,19998,176000
16/01/2021 04:31:20,1571,1755,2990,19997,175554
16/01/2021 04:31:24,1571,1755,2990,19997,175554
16/01/2021 05:34:38,1571,1755,2990,19997,175554
16/01/2021 05:34:41,1571,1755,2990,19997,175554
16/01/2021 06:37:21,1571,1755,2990,19997,175554
16/01/2021 06:37:24,1571,1755,2990,19997,175554
16/01/2021 07:40:36,1571,1755,2990,19997,175554
16/01/2021 07:40:40,1571,1755,2990,19997,175554
16/01/2021 08:44:25,1571,1755,2990,19997,175554
16/01/2021 08:44:28,1571,1755,2990,19997,175554
16/01/2021 09:47:52,1571,1755,2990,19997,175554
16/01/2021 09:47:55,1571,1755,2990,19997,175554
16/01/2021 10:52:16,1571,1755,2990,19997,175554
16/01/2021 10:52:19,1571,1755,2990,19997,175554
16/01/2021 15:11:43,1571,1000,1000,19997,175554
16/01/2021 15:11:47,1571,1000,1000,19997,175554
16/01/2021 16:18:30,1571,1000,1000,19997,175554
16/01/2021 16:18:34,1571,1000,1000,19997,175554
16/01/2021 18:19:07,1571,1000,1000,19997,175554
16/01/2021 18:19:11,1571,1000,1000,19997,175554
16/01/2021 19:28:12,1571,1000,1000,19997,175554
16/01/2021 19:28:15,1571,1000,1000,19997,175554
16/01/2021 20:38:34,1571,1000,1000,19997,175553
16/01/2021 20:38:38,1571,1000,1000,19997,175553
16/01/2021 21:54:56,1663,1755,2990,19998,175553
16/01/2021 21:55:00,1663,1755,2990,19998,175553
16/01/2021 23:06:28,1663,1755,2990,19998,175553
16/01/2021 23:06:31,1663,1755,2990,19998,175553
