,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:02:18,848,699,699,10500,80500
11/01/2021 14:33:48,848,699,699,10500,80000
11/01/2021 17:33:31,848,699,699,10500,80000
13/01/2021 11:56:47,833,690,690,8000,79998
13/01/2021 12:44:15,833,690,690,8000,79997
13/01/2021 13:22:25,815,690,690,8000,79997
13/01/2021 14:33:30,815,690,690,8000,79997
13/01/2021 15:36:51,815,690,690,8000,79997
13/01/2021 17:09:15,815,690,690,8000,79997
13/01/2021 18:16:29,803,690,690,8000,79997
13/01/2021 19:30:17,847,690,690,10999,74555
13/01/2021 21:55:37,847,690,690,10500,74555
14/01/2021 00:12:12,847,690,690,10500,73999
14/01/2021 02:13:47,847,690,690,10500,73999
14/01/2021 07:17:37,847,690,690,10500,73999
14/01/2021 12:42:40,847,690,690,10500,69000
14/01/2021 15:52:13,832,690,698,11999,69000
14/01/2021 19:26:17,832,680,698,11999,68000
14/01/2021 23:21:42,832,679,698,11999,67999
15/01/2021 02:19:37,832,670,698,11998,67000
15/01/2021 04:30:10,832,670,698,11998,67000
16/01/2021 04:30:41,686,645,2499,11998,64500
16/01/2021 05:34:02,686,645,2499,11998,64500
16/01/2021 06:36:45,686,645,2499,8000,64500
16/01/2021 07:40:01,686,645,2499,8000,64500
16/01/2021 08:43:50,686,645,2499,8000,64500
16/01/2021 09:47:16,686,645,-,8000,64500
16/01/2021 10:51:40,686,645,-,7999,64500
16/01/2021 15:11:04,686,600,-,7999,60000
16/01/2021 16:17:54,742,600,-,11999,60000
