,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:30:17,18145,18000,199999,11,77490,65000,2283786407,47788
11/01/2021 14:03:35,18145,18000,199999,11,80218,65000,2500659680,50006
11/01/2021 17:02:55,18145,18000,199999,11,80218,65000,2500659680,50006
17/01/2021 01:15:39,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 05:26:11,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 09:14:00,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 10:58:53,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 12:35:23,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 14:15:35,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 15:44:34,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 17:31:18,17899,14000,199999,20,62653,55000,2487063797,49870
17/01/2021 18:03:49,17899,14000,199999,20,62653,55000,2487063797,49870
18/01/2021 14:09:16,17899,6666,199999,23,49466,16666,2331704836,48287
18/01/2021 16:40:05,17899,6666,199999,23,49466,16666,2331704836,48287
18/01/2021 18:24:04,17899,6666,199999,23,49466,16666,2331704836,48287
