,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
17/01/2021 01:13:19,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 05:23:59,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 09:11:31,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 10:56:29,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 12:32:55,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 14:13:14,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 15:42:08,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 17:29:05,52390,70000,110000,8,86250,90000,169642857,13024
17/01/2021 18:01:22,52390,70000,110000,8,86250,90000,169642857,13024
18/01/2021 14:07:06,52390,70000,110000,8,86250,90000,169642857,13024
18/01/2021 16:37:55,52390,70000,110000,8,86250,90000,169642857,13024
18/01/2021 18:21:45,52390,70000,110000,8,86250,90000,169642857,13024
